,L-fFT,L-fTT,L-mFT,L-mTT,L-hFT,L-hTT,R-fFT,R-fTT,R-mFT,R-mTT,R-hFT,R-hTT,Index,Result
76,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.345,0.345,10000.0,10000.0,"(7, 18)",Failed
77,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.185,0.17,10000.0,10000.0,"(7, 19)",Failed
78,10000.0,10000.0,10000.0,0.39,0.42,0.42,10000.0,10000.0,0.085,0.085,0.37,0.415,"(7, 20)",Success
79,10000.0,0.15,0.14,0.14,0.14,0.145,10000.0,0.145,10000.0,0.0,0.135,10000.0,"(8, 4)",Success
80,10000.0,0.11,10000.0,0.095,0.11,0.115,10000.0,0.1,10000.0,0.095,10000.0,10000.0,"(8, 5)",Success
81,10000.0,10000.0,0.28,0.295,0.28,0.285,10000.0,10000.0,0.28,0.1,10000.0,10000.0,"(8, 6)",Success
82,10000.0,0.125,10000.0,10000.0,0.1,0.105,10000.0,10000.0,10000.0,0.0,0.1,10000.0,"(8, 7)",Success
83,10000.0,0.165,0.105,10000.0,0.125,0.145,10000.0,10000.0,10000.0,0.0,10000.0,10000.0,"(8, 8)",Success
84,10000.0,0.255,10000.0,10000.0,0.175,0.18,10000.0,0.21,10000.0,0.075,10000.0,10000.0,"(8, 9)",Success
85,10000.0,10000.0,10000.0,10000.0,0.08,0.085,0.13,0.13,10000.0,10000.0,0.105,0.12,"(8, 10)",Success
86,10000.0,10000.0,10000.0,10000.0,0.08,0.085,0.105,0.105,10000.0,0.09,0.105,10000.0,"(8, 11)",Success
87,10000.0,0.11,10000.0,0.085,0.09,0.09,10000.0,10000.0,10000.0,10000.0,0.095,10000.0,"(8, 12)",Success
88,10000.0,0.07,10000.0,10000.0,0.065,0.07,10000.0,0.075,10000.0,10000.0,0.065,10000.0,"(8, 13)",Success
89,10000.0,0.68,10000.0,0.655,0.355,0.36,0.645,0.645,0.39,0.23,0.565,10000.0,"(8, 14)",Success
90,10000.0,0.3,10000.0,10000.0,0.26,0.265,10000.0,10000.0,10000.0,0.275,10000.0,10000.0,"(8, 15)",Success
91,10000.0,10000.0,10000.0,0.11,0.105,0.105,10000.0,10000.0,10000.0,0.11,0.14,10000.0,"(8, 16)",Success
92,10000.0,10000.0,10000.0,10000.0,0.185,0.185,10000.0,0.23,10000.0,0.065,0.215,10000.0,"(8, 17)",Success
93,10000.0,0.155,10000.0,0.075,0.09,0.09,10000.0,10000.0,10000.0,0.095,0.12,10000.0,"(8, 18)",Success
94,10000.0,0.205,10000.0,10000.0,0.175,0.18,10000.0,10000.0,10000.0,0.115,0.19,10000.0,"(8, 19)",Success
95,10000.0,10000.0,10000.0,0.655,0.45,0.45,10000.0,10000.0,0.395,0.145,0.705,10000.0,"(8, 20)",Failed
96,10000.0,10000.0,10000.0,10000.0,0.075,0.11,0.13,0.13,10000.0,0.13,10000.0,10000.0,"(9, 4)",Success
97,10000.0,10000.0,10000.0,10000.0,0.335,0.34,0.355,10000.0,10000.0,0.0,10000.0,10000.0,"(9, 5)",Success
98,10000.0,0.16,10000.0,10000.0,0.14,0.145,10000.0,10000.0,10000.0,0.025,10000.0,10000.0,"(9, 6)",Success
99,10000.0,10000.0,10000.0,10000.0,0.07,0.07,10000.0,0.075,10000.0,10000.0,10000.0,10000.0,"(9, 7)",Success
100,10000.0,10000.0,10000.0,10000.0,0.235,0.24,10000.0,10000.0,10000.0,0.0,10000.0,10000.0,"(9, 9)",Success
101,10000.0,10000.0,10000.0,0.12,0.125,0.13,0.13,0.13,10000.0,0.0,10000.0,10000.0,"(9, 10)",Success
102,10000.0,0.145,10000.0,0.13,0.12,0.125,0.17,0.17,10000.0,0.0,10000.0,10000.0,"(9, 11)",Success
103,10000.0,10000.0,10000.0,0.115,0.145,0.155,10000.0,10000.0,10000.0,0.0,10000.0,10000.0,"(9, 12)",Success
104,10000.0,10000.0,10000.0,0.15,0.11,0.115,10000.0,10000.0,10000.0,0.0,0.125,0.13,"(9, 14)",Success
105,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,10000.0,10000.0,"(9, 16)",Success
106,10000.0,0.1,10000.0,0.1,0.09,0.095,10000.0,10000.0,10000.0,0.0,10000.0,10000.0,"(9, 17)",Success
107,10000.0,0.115,10000.0,10000.0,0.105,0.11,10000.0,0.11,10000.0,0.0,10000.0,10000.0,"(9, 18)",Success
108,10000.0,0.21,10000.0,10000.0,0.19,0.195,0.21,0.215,10000.0,0.0,10000.0,10000.0,"(9, 19)",Success
109,10000.0,0.265,10000.0,10000.0,0.24,0.24,10000.0,10000.0,10000.0,0.0,0.265,10000.0,"(9, 20)",Success
110,10000.0,0.36,0.27,0.265,0.305,0.31,0.345,0.275,10000.0,0.03,10000.0,10000.0,"(10, 6)",Success
111,10000.0,0.17,10000.0,10000.0,0.155,0.155,10000.0,0.16,10000.0,0.0,10000.0,10000.0,"(10, 9)",Success
112,10000.0,10000.0,10000.0,10000.0,0.275,0.28,10000.0,10000.0,10000.0,0.065,10000.0,10000.0,"(10, 10)",Success
113,10000.0,0.155,0.145,0.14,0.115,0.115,10000.0,0.16,10000.0,0.0,10000.0,10000.0,"(10, 11)",Success
114,10000.0,0.115,10000.0,0.115,0.085,0.115,10000.0,0.11,10000.0,0.03,10000.0,10000.0,"(10, 13)",Success
115,10000.0,0.14,10000.0,0.14,0.14,0.14,10000.0,0.135,10000.0,0.15,0.145,10000.0,"(10, 14)",Success
116,10000.0,10000.0,0.245,10000.0,0.195,0.22,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,"(10, 15)",Success
117,0.155,0.16,10000.0,10000.0,0.145,0.15,10000.0,0.165,10000.0,0.0,10000.0,10000.0,"(10, 16)",Success
118,10000.0,0.445,0.435,0.43,0.425,0.43,0.47,0.46,10000.0,0.1,10000.0,10000.0,"(10, 17)",Success
119,10000.0,0.14,10000.0,0.095,0.1,0.11,10000.0,0.14,10000.0,10000.0,10000.0,10000.0,"(10, 18)",Success
120,10000.0,0.115,10000.0,0.115,0.095,0.1,10000.0,0.135,10000.0,0.095,10000.0,10000.0,"(10, 19)",Success
121,10000.0,10000.0,10000.0,10000.0,0.135,10000.0,10000.0,0.11,10000.0,0.0,10000.0,10000.0,"(10, 20)",Success
122,10000.0,10000.0,0.39,0.395,10000.0,10000.0,10000.0,10000.0,0.08,0.0,0.36,10000.0,"(11, 4)",Success
123,0.49,0.49,0.48,0.475,0.49,0.495,0.535,0.535,0.16,0.06,10000.0,10000.0,"(11, 5)",Success
124,10000.0,10000.0,0.49,0.485,10000.0,10000.0,10000.0,10000.0,0.41,0.295,0.36,10000.0,"(11, 6)",Success
125,10000.0,10000.0,10000.0,10000.0,0.365,0.36,10000.0,10000.0,0.095,0.065,0.33,10000.0,"(11, 7)",Success
126,10000.0,10000.0,10000.0,10000.0,0.345,10000.0,10000.0,10000.0,0.285,0.025,0.31,0.335,"(11, 8)",Success
127,10000.0,10000.0,10000.0,0.31,0.32,0.315,10000.0,10000.0,10000.0,0.04,10000.0,10000.0,"(11, 10)",Success
128,10000.0,0.49,0.515,0.51,0.525,10000.0,10000.0,10000.0,0.22,0.085,10000.0,10000.0,"(11, 11)",Success
129,10000.0,0.495,0.51,0.505,0.515,0.52,10000.0,10000.0,0.06,0.055,10000.0,10000.0,"(11, 13)",Success
130,10000.0,10000.0,10000.0,0.4,0.375,10000.0,10000.0,10000.0,10000.0,0.26,0.32,0.33,"(11, 14)",Success
131,0.56,0.56,0.56,0.555,0.555,0.565,0.59,10000.0,0.225,0.02,10000.0,10000.0,"(11, 15)",Success
132,10000.0,0.585,0.525,0.54,0.59,0.595,0.56,0.555,10000.0,0.0,0.56,0.57,"(11, 16)",Success
133,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.63,0.165,0.135,0.58,10000.0,"(11, 17)",Success
134,10000.0,10000.0,10000.0,10000.0,0.695,10000.0,10000.0,10000.0,0.31,0.09,10000.0,10000.0,"(11, 18)",Failed
135,10000.0,10000.0,10000.0,0.42,0.455,0.42,10000.0,10000.0,0.47,0.37,10000.0,10000.0,"(11, 19)",Success
136,10000.0,0.44,0.47,0.43,0.45,10000.0,10000.0,10000.0,0.13,0.035,0.435,10000.0,"(11, 20)",Success
137,10000.0,0.175,10000.0,10000.0,0.195,0.195,10000.0,10000.0,10000.0,0.0,0.205,10000.0,"(12, 4)",Success
138,10000.0,0.215,10000.0,10000.0,0.25,10000.0,10000.0,10000.0,10000.0,0.0,0.205,0.215,"(12, 5)",Success
139,10000.0,0.13,10000.0,10000.0,0.17,0.165,10000.0,10000.0,10000.0,0.035,0.16,10000.0,"(12, 6)",Success
140,10000.0,0.15,10000.0,0.195,10000.0,0.145,10000.0,10000.0,10000.0,0.135,0.145,10000.0,"(12, 7)",Success
141,10000.0,0.145,10000.0,0.14,10000.0,0.14,10000.0,0.175,10000.0,0.1,0.13,10000.0,"(12, 8)",Success
142,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,10000.0,10000.0,"(12, 9)",Failed
143,10000.0,10000.0,10000.0,0.15,0.18,0.165,10000.0,10000.0,10000.0,0.165,0.18,10000.0,"(12, 10)",Success
144,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,10000.0,10000.0,"(12, 11)",Failed
145,10000.0,10000.0,10000.0,0.095,0.095,0.095,10000.0,10000.0,10000.0,0.0,0.085,10000.0,"(12, 13)",Success
146,10000.0,0.155,10000.0,0.145,0.15,0.145,10000.0,0.15,10000.0,0.0,10000.0,10000.0,"(12, 14)",Success
147,10000.0,0.6,10000.0,0.55,0.605,0.6,10000.0,0.595,10000.0,0.085,10000.0,10000.0,"(12, 15)",Success
148,10000.0,0.135,10000.0,0.075,0.115,10000.0,10000.0,10000.0,10000.0,0.0,10000.0,10000.0,"(12, 16)",Success
149,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,10000.0,10000.0,"(12, 17)",Failed
150,10000.0,0.515,10000.0,0.39,0.43,0.44,0.53,0.535,10000.0,0.105,0.495,10000.0,"(12, 18)",Success
151,10000.0,0.09,10000.0,10000.0,0.105,10000.0,0.175,10000.0,10000.0,0.01,0.13,10000.0,"(12, 19)",Success
152,10000.0,0.1,10000.0,10000.0,0.11,0.105,10000.0,10000.0,10000.0,0.105,0.1,10000.0,"(12, 20)",Success
153,10000.0,10000.0,10000.0,0.255,10000.0,10000.0,10000.0,10000.0,10000.0,0.025,10000.0,10000.0,"(13, 4)",Success
154,10000.0,10000.0,0.265,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.04,10000.0,10000.0,"(13, 5)",Success
155,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,10000.0,10000.0,"(13, 6)",Success
156,10000.0,10000.0,10000.0,0.42,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,10000.0,10000.0,"(13, 7)",Success
157,10000.0,0.3,10000.0,0.275,0.29,0.29,10000.0,10000.0,10000.0,0.0,0.28,10000.0,"(13, 8)",Success
158,10000.0,10000.0,10000.0,0.195,0.175,0.16,0.17,0.175,10000.0,10000.0,0.17,10000.0,"(13, 9)",Success
159,10000.0,10000.0,10000.0,0.165,0.16,0.13,10000.0,10000.0,10000.0,0.025,0.135,10000.0,"(13, 10)",Success
160,10000.0,0.46,10000.0,0.42,0.44,0.435,10000.0,10000.0,10000.0,0.035,10000.0,10000.0,"(13, 11)",Success
161,10000.0,0.31,10000.0,0.26,10000.0,10000.0,10000.0,10000.0,10000.0,0.08,0.275,0.285,"(13, 12)",Success
162,10000.0,10000.0,10000.0,0.115,10000.0,0.115,10000.0,10000.0,10000.0,0.01,0.11,10000.0,"(13, 13)",Success
163,10000.0,10000.0,10000.0,0.38,0.4,0.39,10000.0,10000.0,10000.0,0.0,10000.0,10000.0,"(13, 14)",Success
164,10000.0,10000.0,10000.0,10000.0,10000.0,0.425,10000.0,10000.0,0.38,0.0,0.275,0.395,"(13, 16)",Success
165,10000.0,0.23,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.05,0.215,10000.0,"(13, 17)",Success
166,10000.0,10000.0,10000.0,0.365,0.425,10000.0,0.465,10000.0,0.465,0.005,0.195,10000.0,"(13, 19)",Success
167,10000.0,10000.0,10000.0,0.28,0.27,0.3,10000.0,10000.0,10000.0,0.12,0.255,10000.0,"(13, 20)",Success
168,10000.0,10000.0,0.23,0.23,10000.0,10000.0,10000.0,10000.0,0.115,0.115,0.26,10000.0,"(14, 4)",Success
169,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.145,0.145,10000.0,10000.0,"(14, 5)",Failed
170,10000.0,10000.0,10000.0,0.18,10000.0,0.255,10000.0,0.235,10000.0,0.005,0.255,10000.0,"(14, 6)",Success
171,10000.0,10000.0,10000.0,0.075,10000.0,10000.0,0.14,0.135,10000.0,0.0,0.13,10000.0,"(14, 7)",Success
172,10000.0,10000.0,10000.0,0.44,10000.0,10000.0,10000.0,10000.0,10000.0,0.015,10000.0,10000.0,"(14, 8)",Failed
173,10000.0,0.57,10000.0,0.54,10000.0,10000.0,10000.0,10000.0,10000.0,0.02,0.555,10000.0,"(14, 9)",Success
174,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,10000.0,10000.0,"(14, 10)",Success
175,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.205,10000.0,0.035,0.18,10000.0,"(14, 11)",Success
176,10000.0,10000.0,10000.0,0.335,10000.0,10000.0,10000.0,10000.0,10000.0,0.105,0.18,10000.0,"(14, 13)",Success
177,10000.0,10000.0,10000.0,0.185,10000.0,10000.0,10000.0,10000.0,10000.0,0.005,10000.0,10000.0,"(14, 14)",Success
178,10000.0,10000.0,10000.0,10000.0,10000.0,0.09,10000.0,10000.0,10000.0,0.0,10000.0,10000.0,"(14, 15)",Success
179,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.175,0.175,10000.0,0.0,10000.0,10000.0,"(14, 17)",Success
180,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.03,0.195,10000.0,"(14, 20)",Success
181,10000.0,0.145,10000.0,0.095,0.14,0.135,10000.0,10000.0,10000.0,0.01,0.145,10000.0,"(15, 4)",Success
182,10000.0,0.35,10000.0,0.3,0.34,0.34,10000.0,10000.0,10000.0,0.015,10000.0,10000.0,"(15, 6)",Success
183,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.025,10000.0,10000.0,"(15, 9)",Failed
184,10000.0,0.275,10000.0,0.32,0.255,0.255,10000.0,10000.0,10000.0,0.0,0.31,10000.0,"(15, 10)",Success
185,10000.0,0.57,10000.0,0.52,0.58,0.575,10000.0,10000.0,10000.0,0.02,10000.0,10000.0,"(15, 12)",Success
186,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,10000.0,10000.0,"(15, 13)",Failed
187,10000.0,0.605,10000.0,0.635,10000.0,10000.0,10000.0,10000.0,10000.0,0.035,0.685,10000.0,"(15, 14)",Success
188,10000.0,0.48,10000.0,0.53,0.51,0.495,0.545,0.55,10000.0,0.085,0.49,10000.0,"(15, 18)",Success
189,10000.0,0.31,10000.0,0.25,0.285,0.28,10000.0,10000.0,10000.0,0.0,10000.0,10000.0,"(15, 19)",Success
