,L-fFT,L-fTT,L-mFT,L-mTT,L-hFT,L-hTT,R-fFT,R-fTT,R-mFT,R-mTT,R-hFT,R-hTT,Index,Result
18,10000.0,0.408,10000.0,0.292,10000.0,0.428,0.396,0.4,10000.0,0.0,10000.0,10000.0,"(3, 7)",Success
19,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,10000.0,10000.0,"(3, 11)",Failed
20,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.172,10000.0,"(3, 14)",Success
21,10000.0,10000.0,10000.0,0.62,10000.0,10000.0,10000.0,10000.0,10000.0,0.016,10000.0,10000.0,"(3, 17)",Failed
22,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.236,0.236,10000.0,0.0,0.192,10000.0,"(3, 20)",Success
23,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,10000.0,10000.0,"(3, 25)",Success
24,10000.0,0.1,10000.0,0.108,10000.0,10000.0,0.1,0.1,10000.0,0.044,0.096,10000.0,"(4, 1)",Success
25,10000.0,10000.0,10000.0,0.168,0.172,0.176,0.144,0.136,0.2,0.196,0.152,0.16,"(4, 3)",Success
26,10000.0,0.248,0.212,0.212,0.252,0.248,0.26,10000.0,0.112,0.04,0.236,10000.0,"(4, 4)",Success
27,0.22,0.22,0.184,0.128,0.208,0.212,10000.0,10000.0,0.132,0.0,0.188,10000.0,"(4, 5)",Success
28,10000.0,10000.0,0.428,0.384,10000.0,10000.0,0.408,0.412,10000.0,0.028,0.416,10000.0,"(4, 9)",Success
29,10000.0,10000.0,0.54,0.544,10000.0,10000.0,0.548,10000.0,10000.0,0.068,10000.0,10000.0,"(4, 19)",Success
30,10000.0,0.284,0.24,0.24,10000.0,10000.0,0.284,0.28,10000.0,0.12,0.28,10000.0,"(4, 21)",Success
31,10000.0,0.328,0.22,0.152,0.332,0.336,0.332,0.336,10000.0,0.268,10000.0,10000.0,"(4, 22)",Success
32,10000.0,0.292,10000.0,0.244,0.3,10000.0,10000.0,10000.0,10000.0,0.076,0.28,10000.0,"(4, 23)",Success
33,10000.0,0.208,10000.0,0.112,0.184,0.188,10000.0,10000.0,10000.0,10000.0,0.16,10000.0,"(4, 24)",Success
34,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,"(4, 25)",Success
35,10000.0,0.62,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.4,0.088,10000.0,10000.0,"(4, 26)",Failed
36,10000.0,0.24,10000.0,10000.0,10000.0,10000.0,0.232,0.232,10000.0,0.0,10000.0,10000.0,"(4, 27)",Success
37,10000.0,0.232,0.248,0.204,0.24,10000.0,0.22,0.22,10000.0,10000.0,10000.0,10000.0,"(4, 28)",Success
38,10000.0,0.436,0.388,0.392,0.444,0.448,0.44,0.436,0.024,0.0,10000.0,10000.0,"(5, 1)",Success
39,10000.0,0.2,10000.0,0.144,0.184,0.224,10000.0,10000.0,10000.0,0.164,0.204,10000.0,"(5, 5)",Success
40,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.028,0.0,10000.0,10000.0,"(5, 6)",Success
41,10000.0,10000.0,0.196,0.184,0.256,0.256,10000.0,10000.0,10000.0,10000.0,0.232,10000.0,"(5, 13)",Success
42,0.644,0.648,0.684,10000.0,10000.0,10000.0,10000.0,10000.0,0.1,0.028,0.648,10000.0,"(5, 17)",Failed
43,10000.0,0.256,10000.0,0.196,0.272,0.276,0.244,0.244,10000.0,0.24,0.252,10000.0,"(5, 18)",Success
44,0.592,0.588,10000.0,10000.0,10000.0,10000.0,0.572,0.576,10000.0,0.408,10000.0,10000.0,"(5, 19)",Success
